Year,Biomass_est_mpa,Biomass_lo_mpa,Biomass_hi_mpa,Catch_est_mpa,Catch_lo_mpa,Catch_hi_mpa,Biomass_est,Biomass_lo,Biomass_hi,Catch_est,Catch_lo,Catch_hi,B_percent_change,Blo_percent_change,Bhi_percent_change,C_percent_change,Clo_percent_change,Chi_percent_change
2015,42960.96313,25875.01839,57882.23422,5184.83241,NA,NA,42960.96313,25875.01839,57882.23422,5184.83241,NA,NA,0,0,0,0,0,0
2016,44296.69824,27673.21847,62396.85152,6948.193881,2772.870896,15274.61638,43565.17582,27381.36264,60376.46037,7313.888296,2918.811469,16078.54356,1.679144882,1.065892278,3.346322619,-5.000000003,-4.999999985,-5.000000012
2017,46690.07506,27813.49958,70599.97034,6720.856423,2773.101655,12927.83448,45707.61182,27403.90283,67853.52148,7060.185453,2914.951812,13534.38063,2.149452139,1.494665751,4.047614332,-4.806233948,-4.866295093,-4.481521294
2018,49083.15398,27926.78054,80381.60144,6562.324795,2768.031236,11466.60418,47916.00271,27430.61861,77111.47873,6877.87215,2904.298003,11916.77222,2.435827707,1.808788701,4.240772922,-4.58786305,-4.69190031,-3.777600442
2019,51391.22403,27996.79542,91547.57841,6445.886809,2758.73227,10466.10209,50095.98967,27433.89807,87977.57167,6741.984339,2889.722424,10790.74789,2.585505084,2.051831455,4.057860057,-4.391845414,-4.532966658,-3.008556991
2020,53585.96139,28015.19591,103890.8508,6358.070834,2747.317703,9736.904969,52204.70541,27400.65834,100130.2067,6638.058261,2873.750502,9960.532975,2.645845751,2.242783959,3.755753857,-4.217911564,-4.399574664,-2.245140963
2021,55652.72848,27984.69955,116560.9413,6290.144282,2735.547035,9176.725937,54212.52068,27330.95359,112669.7019,6557.056133,2857.993754,9321.812843,2.656596266,2.391961765,3.453669739,-4.070604942,-4.284359223,-1.556423718
2022,57567.80057,27915.80687,128334.21,6236.38433,2724.342353,8728.399509,56085.23987,27232.60252,124339.405,6492.995647,2843.295349,8813.313627,2.643406186,2.508773627,3.212822998,-3.952125197,-4.183631364,-0.963475505
2023,59301.58157,27820.93201,138167.7569,6193.26555,2714.063823,8361.546619,57786.98028,27115.57849,134088.2835,6441.736101,2830.004233,8396.865034,2.621007851,2.601285163,3.042378718,-3.857198543,-4.096828148,-0.420614299
2024,60830.58172,27710.77777,145690.2928,6158.211505,2704.813693,8052.205644,59290.57999,26988.61134,141536.1798,6400.314207,2818.192669,8047.837544,2.597380107,2.675819148,2.935018457,-3.782669009,-4.023109465,0.054276692
2025,62145.74615,27593.18021,151198.425,6129.572326,2696.568844,7790.045515,60584.86938,26858.05367,146977.6553,6366.558504,2807.794246,7750.030972,2.576347504,2.737080464,2.871708418,-3.722359228,-3.961308852,0.51631462
2026,63254.03161,27473.32683,155299.9903,6105.94126,2689.259234,7561.549663,61675.48293,26728.02348,151016.4166,6338.850535,2798.682499,7492.590291,2.559442756,2.788471623,2.836495393,-3.674314037,-3.909813458,0.920367581
2027,64174.74571,27354.42299,158563.6683,6086.422046,2682.794607,7364.848414,62580.91118,26600.96943,154221.4274,6315.967259,2790.712594,7267.952012,2.546838165,2.832428953,2.815588581,-3.634363568,-3.867040527,1.333200905
2028,64934.12247,27238.33989,161391.8808,6070.158179,2677.083751,7189.583529,63326.81185,26478.23122,156992.365,6296.972187,2783.74188,7070.54112,2.538120226,2.870692773,2.802375644,-3.601953467,-3.831466192,1.6836393
2029,65560.22452,27126.10508,164022.5842,6056.629324,2672.038584,7038.299449,63940.87189,26360.46179,159568.9105,6281.138411,2777.639021,6896.042633,2.532578274,2.90451395,2.791066058,-3.574337521,-3.801805641,2.06287611
2030,66079.51203,27018.23203,166588.9698,6045.281348,2667.57901,6900.482412,64449.25797,26247.90858,162081.4085,6267.893843,2772.287204,6741.015345,2.52951564,2.934799348,2.78104771,-3.551631546,-3.776960549,2.365623854
2031,66514.93215,26914.92904,169153.4521,6035.798581,2663.632557,6782.407049,64874.72375,26140.58854,164595.2226,6256.782284,2767.58444,6602.66895,2.528270342,2.962215249,2.76935711,-3.531906545,-3.756050999,2.722203708
2032,66885.35359,26816.22655,171748.909,6027.804861,2660.135269,6671.667287,65235.97245,26038.39251,167139.5554,6247.435708,2763.442563,6478.715626,2.528330732,2.987258294,2.7577874,-3.51553593,-3.738355028,2.978239394
2033,67205.66571,26722.0533,174380.621,6021.102327,2657.030614,6578.78252,65547.78591,25941.14573,169724.064,6239.554379,2759.785742,6367.261121,2.529268955,3.010304857,2.743604466,-3.501084192,-3.723300923,3.322015463
2034,67487.33204,26632.28118,177052.8323,6015.426692,2654.269231,6487.886091,65821.52677,25848.6421,172347.9382,6232.89237,2756.54889,6266.72171,2.530790992,3.031645055,2.729881279,-3.489001014,-3.710424269,3.529187847
2035,67738.98082,26546.75159,179753.1314,6010.65208,2651.807908,6414.761931,66065.75956,25760.66323,175004.7607,6227.246784,2753.676172,6175.760297,2.532660294,3.051506683,2.713280874,-3.47817762,-3.699355249,3.869995312
