NombreCientifico,CommonName
Anisotremus interruptus,Burito grunt
Apogon retrosella,Barspot cardinalfish
Argopecten ventricosus,Pacific Calico Scallop
Atrina maura,Maura pen shell
Balistes polylepis,Finescale triggerfish
Calamus brachysomus,Pacific porgy
Callinectes bellicosus,Cortez swimming crab
Carcharhinus leucas,Bull shark
Carcharhinus limbatus,Blacktip shark
Caulolatilus affinis,Bighead tilefish
Caulolatilus princeps,Ocean whitefish
Coryphaena hippurus,Mahi-mahi
Cynoscion othonopterus,Gulf corvina
Cynoscion parvipinnis,Shortfin corvina 
Cynoscion reticulatus,Striped corvina
Dasyatis dipterura,Diamond stingray
Dosinia ponderosa,Ponderous dosinia
Epinephelus analogus,Spotted grouper
Epinephelus labriformis,Starry grouper
Farfantepenaeus californiensis,Yellowleg shrimp
Haemulon flaviguttatum,Yellowspotted grunt 
Haemulon scudderi,Grey grunt
Litopenaeus stylirostris,Blue shrimp
Lutjanus argentiventris,Yellow snapper
Lutjanus guttatus,Rose snapper
Megapitaria squalida,Chocolate clam
Microlepidotus inornatus,Wavyline grunt 
Mugil curema,White mullet 
Mycteroperca jordani,Gulf grouper 
Mycteroperca prionura,Sawtail grouper
Myliobatis californica,Bat ray
Nematistius pectoralis,Roosterfish
Panulirus inflatus,Blue spiny lobster
Panulirus interruptus,Caligornia spiny lobster 
Paralabrax auroguttatus,Goldspotted sand bass
Paralabrax maculatofasciatus,Spotted sand bass
Pinctada mazatlanica,Pearl oyster 
Pinna rugosa,Rugose pen shell
Scarus perrico,Bumphead parrotfish
Sphoeroides annulatus,Bullseye puffer
Sphyrna lewini,Scalloped hammerhead
Trachinotus rhodopus,Gafftopsail pompano
