"","NombreCientifico","Ano","MT"
"1","Anisotremus interruptus",2005,1.4373
"2","Anisotremus interruptus",2006,2.8088
"3","Anisotremus interruptus",2007,1.6539
"4","Anisotremus interruptus",2008,3.1933
"5","Anisotremus interruptus",2009,1.8557
"6","Anisotremus interruptus",2010,2.0112
"7","Anisotremus interruptus",2011,0.8676
"8","Anisotremus interruptus",2012,2.3413
"9","Anisotremus interruptus",2013,4.5117
"10","Anisotremus interruptus",2014,5.3456
"11","Anisotremus interruptus",2015,0.9207
"12","Balistes polylepis",2000,10.449
"13","Balistes polylepis",2005,106.5234
"14","Balistes polylepis",2006,74.22225
"15","Balistes polylepis",2007,54.28645
"16","Balistes polylepis",2008,71.19355
"17","Balistes polylepis",2009,77.4975
"18","Balistes polylepis",2010,18.8176
"19","Balistes polylepis",2011,22.69775
"20","Balistes polylepis",2012,50.96515
"21","Balistes polylepis",2013,52.43685
"22","Balistes polylepis",2014,52.337
"23","Balistes polylepis",2015,87.38358
"24","Mycteroperca jordani",2005,0.5327
"25","Mycteroperca jordani",2006,0.965
"26","Mycteroperca jordani",2007,6.9798
"27","Mycteroperca jordani",2008,7.003
"28","Mycteroperca jordani",2009,4.8685
"29","Mycteroperca jordani",2010,0.182
"30","Mycteroperca jordani",2011,0.873
"31","Mycteroperca jordani",2012,0.747
"32","Mycteroperca jordani",2013,1.8659
"33","Mycteroperca jordani",2014,0.918
"34","Mycteroperca jordani",2015,19.555
"35","Mycteroperca prionura",2006,0.0737
"36","Mycteroperca prionura",2008,0.0121
"37","Mycteroperca prionura",2010,0.0605
"38","Mycteroperca prionura",2012,0.1791
"39","Mycteroperca prionura",2013,0.0561
"40","Mycteroperca prionura",2015,1.63548
"41","Octopus sp",2000,0.149
"42","Octopus sp",2005,142.3614
"43","Octopus sp",2006,151.451
"44","Octopus sp",2007,121.7588
"45","Octopus sp",2008,247.8646
"46","Octopus sp",2009,247.4557
"47","Octopus sp",2010,124.1154
"48","Octopus sp",2011,224.6151
"49","Octopus sp",2012,232.7373
"50","Octopus sp",2013,155.4348
"51","Octopus sp",2014,155.08151
"52","Octopus sp",2015,121.29631
"53","Scarus perrico",2005,0.1584
"54","Scarus perrico",2006,0.0913
"55","Scarus perrico",2007,0.11
"56","Scarus perrico",2012,0.0803
"57","Scarus perrico",2013,0.018
"58","Scarus perrico",2015,0.1395
